-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     707.690us         0.15%     707.690us       1.815us           390                                    []  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     701.423us         0.15%     701.423us       1.948us           360                                    []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     653.509us         0.14%     653.509us       2.420us           270                                    []  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     600.840us         0.13%     600.840us       2.503us           240                                    []  
                                    _hc_pre_norm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     594.407us         0.13%     594.407us       4.953us           120                                    []  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     569.511us         0.12%     569.511us      11.865us            48                                    []  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     551.080us         0.12%     551.080us       2.296us           240                                    []  
void at::native::radixSortKVInPlace<2, -1, 32, 32, l...         0.00%       0.000us         0.00%       0.000us       0.000us     534.537us         0.12%     534.537us      22.272us            24                                    []  
                                         _skinny_reduce         0.00%       0.000us         0.00%       0.000us       0.000us     529.606us         0.12%     529.606us       2.207us           240                                    []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     512.551us         0.11%     512.551us       1.400us           366                                    []  
                                        _hc_post_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     504.260us         0.11%     504.260us       4.202us           120                                    []  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     480.836us         0.10%     480.836us       2.003us           240                                    []  
void at::native::bitonicSortKVInPlace<2, -1, 16, 16,...         0.00%       0.000us         0.00%       0.000us       0.000us     479.719us         0.10%     479.719us       3.998us           120                                    []  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us     465.704us         0.10%     465.704us      19.404us            24                                    []  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     442.981us         0.10%     442.981us       1.846us           240                                    []  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     431.405us         0.09%     431.405us       1.733us           249                                    []  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     400.550us         0.09%     400.550us       1.517us           264                                    []  
void at::native::warpMergeSortKVInPlace<-2, -1, 128,...         0.00%       0.000us         0.00%       0.000us       0.000us     393.412us         0.09%     393.412us       3.278us           120                                    []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     388.397us         0.08%     388.397us       1.541us           252                                    []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     387.526us         0.08%     387.526us       1.615us           240                                    []  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     341.317us         0.07%     341.317us       2.775us           123                                    []  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     317.061us         0.07%     317.061us       1.355us           234                                    []  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     293.476us         0.06%     293.476us       1.223us           240                                    []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     283.397us         0.06%     283.397us       1.211us           234                                    []  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     278.407us         0.06%     278.407us       1.118us           249                                    []  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     278.405us         0.06%     278.405us       1.160us           240                                    []  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     259.428us         0.06%     259.428us       1.696us           153                                    []  
void at::native::tensor_kernel_scan_innermost_dim_wi...         0.00%       0.000us         0.00%       0.000us       0.000us     229.444us         0.05%     229.444us       1.912us           120                                    []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     227.970us         0.05%     227.970us       1.900us           120                                    []  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     213.505us         0.05%     213.505us       1.779us           120                                    []  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     206.436us         0.04%     206.436us       1.638us           126                                    []  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     202.082us         0.04%     202.082us       1.531us           132                                    []  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------------  
Self CPU time total: 613.881ms
Self CUDA time total: 460.455ms
